date,open,low,high,close,volume,change,changePercent,vwap,changeOverTime
736474,150.3232,140.4373,142.921,142.6374,21265751,-3.4811,-2.39,150.3864,1.2961682736476483
736475,150.5873,139.9876,142.8721,142.4027,19106294,1.1441,0.805,150.2737,1.2922889330439853
736479,150.0201,139.127,141.9138,143.0383,35439389,-1.3983,-0.976,150.4389,1.293184752451676
736480,150.5579,140.5937,141.7476,142.5885,25692361,-0.850721,-0.599,149.5421,1.2796040081432576
736481,149.7756,139.9288,142.0801,140.5448,24761891,-1.9752,-1.4,149.496,1.2858716918014974
736482,150.1766,139.5608,141.5814,142.5983,22082432,3.9798,2.861,151.1969,1.3197464846337212
736485,150.9197,139.2541,140.3199,140.4959,31499368,-1.3005,-0.909,150.4784,1.2970640930553392
736486,150.4895,139.7332,141.5422,140.8284,23024107,0.840943,0.593,151.2344,1.3048243003604645
736487,151.5846,140.1928,142.7156,140.3199,14277848,-0.234683,-0.165,151.8999,1.318553076155332
736488,151.8096,141.1804,142.6179,140.8969,21569557,0.635596,0.42700000000000005,151.4514,1.312882096736287
736489,151.7509,141.6107,142.9405,139.567,24128782,-0.44980699999999996,-0.314,146.8483,1.2231963813169004
736492,142.5103,142.2169,145.1994,140.9849,19201712,-2.0437,-1.433,141.077,1.170071390855011
736493,143.8988,144.0651,146.0207,141.8454,21090636,2.0535,1.4609999999999999,143.1132,1.187531475767093
736494,144.2313,145.2776,147.5559,142.305,19781836,-2.1024,-1.474,142.1609,1.1661920502513479
736495,140.1439,145.3754,146.803,142.5103,24884478,0.332465,0.237,140.33,1.1532080101821245
736496,140.5937,146.627,148.0644,144.4953,25199373,-0.5084770000000001,-0.361,139.8689,1.123064526467114
736499,140.4764,146.8617,148.3773,145.7372,20132061,0.576925,0.41100000000000003,142.5162,1.1838001666498796
736500,143.6153,145.5807,147.1061,146.2456,23793456,-1.3299,-0.9440000000000001,142.2282,1.1639532647810202
736501,142.2952,146.5781,149.0618,146.7541,17868792,1.4179,1.016,142.3127,1.1767862211681974
736502,142.5396,148.436,150.4308,147.6733,20922969,0.860499,0.61,142.5243,1.1732044696352322
736503,141.9138,149.6681,150.5188,147.0084,17243748,0.459583,0.324,143.0824,1.1829043472421883
736506,143.9086,144.0357,150.5775,146.9399,26252630,0.205348,0.14400000000000002,143.2455,1.1760399593447548
736507,141.7965,145.8838,146.9008,148.7196,21493160,1.985,1.393,141.5988,1.1448510986378049
736508,141.28799999999998,144.8473,146.9986,149.3552,18853932,1.2419,0.8,141.8107,1.1761895169290026
736509,141.5031,153.1982,155.3982,150.0592,15780951,0.508475,0.349,140.4288,1.1441048368143625
736510,141.2489,152.6994,156.2098,147.2235,32476337,0.919169,0.626,141.1696,1.1491791119942127
736513,141.6694,151.5846,153.7261,146.187,17213653,-0.664931,-0.45,140.7926,1.141418904689088
736515,140.5057,152.2398,153.9119,145.434,19845920,-0.068448,-0.047,140.7504,1.1502244889861521
736516,139.8506,154.7626,158.2437,155.0755,21194042,1.7797,1.2109999999999999,139.6692,1.129928914364548
736517,139.7332,155.584,157.6961,153.6577,69936800,0.704043,0.47100000000000003,140.872,1.1515674550487895
736520,140.9164,151.7971,157.0687,152.1225,27097296,-2.8357,-1.89,141.6908,1.1646995266044629
736521,141.5227,153.2107,155.6677,152.9243,20559852,-1.0365,-0.7040000000000001,141.9864,1.1717134720861453
736522,142.6374,155.8416,157.2749,155.2907,21870321,-0.752937,-0.515,142.232,1.1748465508663657
736523,142.2756,157.2062,159.2235,156.5325,36205896,9.6415,6.629,144.2056,1.205139592165624
736524,144.6909,157.216,159.5328,157.4908,26131530,-1.4179,-0.914,145.13,1.2240922007245911
736527,145.52200000000002,154.9483,157.7657,152.4745,40804273,-1.5352,-0.9990000000000001,146.5535,1.2318508819319176
736528,145.8936,153.8488,156.5779,154.5949,26257096,0.8018270000000001,0.527,146.1236,1.2396110892370424
736529,147.1453,152.2684,154.9974,156.9215,22122734,0.958282,0.612,147.4848,1.253638980200407
736530,148.1427,155.125,157.0687,158.6394,29465487,-5.0163,-3.185,147.4067,1.2434919559385045
736531,146.6661,155.9693,157.5301,158.0013,27671612,2.1204,1.391,146.599,1.2424465789465649
736534,147.243,155.6453,157.7952,154.9679,27940565,2.3266,1.505,148.2105,1.2696065414656037
736535,148.436,156.3521,157.6185,154.6145,27428069,1.7179,1.014,149.7436,1.2793064190725598
736536,149.9517,157.0,159.0321,154.3299,26368528,-0.638091,-0.401,150.0998,1.2900501475736572
736537,150.3428,157.0687,160.1316,156.8528,21604585,-3.0334,-1.92,147.6308,1.2467745923029732
736538,146.5683,159.6309,160.8875,157.0491,19399081,-0.353403,-0.228,146.3814,1.2309565886220253
736541,146.5781,160.485,161.5059,156.3521,19818918,-0.28468699999999997,-0.184,145.6058,1.2194650721996867
736542,153.5794,160.6322,161.9182,156.9313,25480063,2.5229,1.635,154.4806,1.3698879538996374
736543,155.7502,157.6185,161.2409,158.5118,25965972,0.19633499999999998,0.125,154.3221,1.3449667768509277
736544,153.5697,157.5792,160.004,159.9254,29516910,-0.6969920000000001,-0.444,152.4565,1.321538123449103
